itemid,label,sourceFrequency,sourceAdditionalInfo
220045,Heart Rate,13913,Routine Vital Signs
220277,O2 saturation pulseoxymetry,13540,Respiratory
224650,Ectopy Type 1,11044,Routine Vital Signs
220179,Non Invasive Blood Pressure systolic,8347,Routine Vital Signs
227958,Less Restrictive Measures,7675,Restraint/Support Systems
220050,Arterial Blood Pressure systolic,5525,Routine Vital Signs
228928,Impaired Tissue Perfusion NCP - Interventions,5463,Care Plans
223792,Pain Management,5371,Pain/Sedation
224082,Turn,5045,Treatments
224093,Position,4742,Treatments
228868,Assistance,3947,Treatments
228924,Impaired Tissue Perfusion NCP - Expected outcomes,3704,Care Plans
223761,Temperature,3379,Routine Vital Signs
223781,Pain Present,3330,Pain/Sedation
220739,GCS - Eye Opening,3274,Neurological
223901,GCS - Motor Response,3251,Neurological
226732,O2 Delivery Device(s),3145,Respiratory
223989,LLL Lung Sounds,3070,Pulmonary
227944,Side Rails,3032,Restraint/Support Systems
223988,LUL Lung Sounds,3015,Pulmonary
228947,Infection NCP - Interventions,2949,Care Plans
224003,Abdominal Assessment,2898,GI/GU
223783,Pain Location,2780,Pain/Sedation
227947,Reason for Restraint (Non-violent),2666,Restraint/Support Systems
224001,Diet Type,2570,GI/GU
224733,Pupil Size Left,2545,Neurological
227288,Pupil Response Left,2535,Neurological
228299,Goal Richmond-RAS Scale,2455,Pain/Sedation
228305,ST Segment Monitoring On,2383,Alarms
224015,Urine Source,2359,GI/GU
227954,Status and Comfort,2268,Restraint/Support Systems
224004,Bowel Sounds,2245,GI/GU
226168,Oral Care,2209,Treatments
224031,Edema Location,2181,Skin - Incisions
223943,Dorsal PedPulse L,2160,Cardiovascular (Pulses)
228412,Strength R Arm,2107,Neurological
228902,Altered Respiratory Status NCP - Expected outcomes,2104,Care Plans
223791,Pain Level,2099,Pain/Sedation
228397,Commands Response,2092,Neurological
223794,Pain Level Acceptable,2065,Pain/Sedation
227950,Restraint Location,2024,Restraint/Support Systems
224876,Urine Appearance,2006,GI/GU
228398,Commands,1980,Neurological
224027,Skin Temperature,1969,Skin - Assessment
224860,Skin Condition,1941,Skin - Assessment
223782,Pain Type,1901,Pain/Sedation
227959,Restraints Evaluated,1886,Restraint/Support Systems
227960,Patient/Family Informed,1879,Restraint/Support Systems
227957,Signs of Injury from Intervention,1871,Restraint/Support Systems
227956,Urinal/Bedpan,1846,Restraint/Support Systems
223900,GCS - Verbal Response,3266,Neurological
220181,Non Invasive BP mean,8342,Routine Vital Signs
220210,Respiratory Rate,13913,Respiratory
223834,O2 Flow,1090,Respiratory
223835,Inspired O2 Fraction,1746,Respiratory
220339,PEEP set,1447,Respiratory
224700,Total PEEP Level,490,Respiratory
