id,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,label,SHORTNAME
100002-5,Specimen care is maintained,Find,Pt,^Patient,Ord,,SURVEY.PNDS,Specimen care is maintained,
100003-3,Team communication is maintained throughout care,Find,Pt,^Patient,Ord,,SURVEY.PNDS,Team communication is maintained throughout care,
100004-1,Demonstrates knowledge of the expected psychosocial responses to the procedure,Find,Pt,^Patient,Ord,,SURVEY.PNDS,Demonstrates knowledge of the expected psychosocial responses to the procedure,
100005-8,Demonstrates knowledge of nutritional management related to the procedure,Find,Pt,^Patient,Ord,,SURVEY.PNDS,Demonstrates knowledge of nutritional management related to the procedure,
100006-6,Demonstrates knowledge of medication management,Find,Pt,^Patient,Ord,,SURVEY.PNDS,Demonstrates knowledge of medication management,
100007-4,Demonstrates knowledge of pain management,Find,Pt,^Patient,Ord,,SURVEY.PNDS,Demonstrates knowledge of pain management,
100008-2,Demonstrates knowledge of wound management,Find,Pt,^Patient,Ord,,SURVEY.PNDS,Demonstrates knowledge of wound management,
100009-0,Demonstrates knowledge of the procedure and expected results,Find,Pt,^Patient,Ord,,SURVEY.PNDS,Demonstrates knowledge of the procedure and expected results,
100010-8,"No injury related to procedure equipment, medical supplies, or instrumentation",Find,Pt,^Patient,Ord,,SURVEY.PNDS,"No injury related to procedure equipment, medical supplies, or instrumentation",
100011-6,No injury related to an electrical source,Find,Pt,^Patient,Ord,,SURVEY.PNDS,No injury related to an electrical source,
100012-4,Participates in decisions affecting the patient's plan of care,Find,Pt,^Patient,Ord,,SURVEY.PNDS,Participates in decisions affecting the patient's plan of care,
100013-2,Participates in the discharge process,Find,Pt,^Patient,Ord,,SURVEY.PNDS,Participates in the discharge process,
100014-0,Psychosocial health is maintained at or improved from baseline,Find,Pt,^Patient,Ord,,SURVEY.PNDS,Psychosocial health is maintained at or improved from baseline,
100015-7,No injury related to positioning due to care or procedure,Find,Pt,^Patient,Ord,,SURVEY.PNDS,No injury related to positioning due to care or procedure,
100016-5,No injury related to a laser source,Find,Pt,^Patient,Ord,,SURVEY.PNDS,No injury related to a laser source,
100017-3,Perioperative nursing data set outcomes panel,-,Pt,^Patient,-,PNDS,PANEL.SURVEY.PNDS,Perioperative nursing data set outcomes panel [PNDS],
100030-6,Axis I: Temporal aspects score,Score,Pt,^Patient,Qn,Mainz Pain Staging System,SURVEY.PAIN,Axis I: Temporal aspects score [Mainz Pain Staging System],
100031-4,Axis II: Spatial aspects score,Score,Pt,^Patient,Qn,Mainz Pain Staging System,SURVEY.PAIN,Axis II: Spatial aspects score [Mainz Pain Staging System],
100032-2,Axis III: Drug taking behavior score,Score,Pt,^Patient,Qn,Mainz Pain Staging System,SURVEY.PAIN,Axis III: Drug taking behavior score [Mainz Pain Staging System],
