id,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,label,SHORTNAME
10000-8,R wave duration.lead AVR,Time,Pt,Heart,Qn,EKG,EKG.MEAS,R wave duration in lead AVR,R wave dur L-AVR
10001-6,R wave duration.lead I,Time,Pt,Heart,Qn,EKG,EKG.MEAS,R wave duration in lead I,R wave dur L-I
100018-1,Note,Find,Pt,{Setting},Doc,Hospice care,DOC.ONTOLOGY,Hospice care Note,Hospice care Note
10002-4,R wave duration.lead II,Time,Pt,Heart,Qn,EKG,EKG.MEAS,R wave duration in lead II,R wave dur L-II
10003-2,R wave duration.lead III,Time,Pt,Heart,Qn,EKG,EKG.MEAS,R wave duration in lead III,R wave dur L-III
100034-8,Provider of automated external defibrillator use,Type,Pt,^Patient,Nom,,TRAUMA,Provider of automated external defibrillator use,Provider of AED
100035-5,Exam finding location,Find,Pt,Chest,Nom,,H&P.PX,Exam finding location of Chest,Exam finding location Chest
100036-3,Exam finding location,Find,Pt,Lung,Nom,,H&P.PX,Exam finding location of Lung,Exam finding location Lung
100037-1,Patient contact disposition,Type,Pt,EMS unit,Nom,,TRAUMA,Patient contact disposition EMS unit,Patient contact disposition EMS unit
100038-9,Patient evaluation disposition,Type,Pt,EMS unit,Nom,,TRAUMA,Patient evaluation disposition EMS unit,Patient eval disposition EMS unit
100039-7,Crew disposition for patient care,Type,Pt,EMS unit,Nom,,TRAUMA,Crew disposition for patient care EMS unit,Crew disposition EMS unit
10004-0,R wave duration.lead V1,Time,Pt,Heart,Qn,EKG,EKG.MEAS,R wave duration in lead V1,R wave dur L-V1
100040-5,Patient transport disposition,Type,Pt,EMS unit,Nom,,TRAUMA,Patient transport disposition EMS unit,Pt transport disposition EMS unit
10005-7,R wave duration.lead V2,Time,Pt,Heart,Qn,EKG,EKG.MEAS,R wave duration in lead V2,R wave dur L-V2
100062-9,Standard Dermatology Outcome Measures panel,-,Pt,^Patient,-,SDOM,PANEL.CLIN,Standard Dermatology Outcome Measures panel,SDOM panel
100063-7,Primary skin concern,Find,Pt,^Patient,Nom,,CLIN,Primary skin concern,Primary skin concern
100064-5,Itch severity,Find,RptPeriod,^Patient,Ord,Reported,CLIN,Itch severity Reporting Period - Reported,Itch severity RptPeriod Reported
10006-5,R wave duration.lead V3,Time,Pt,Heart,Qn,EKG,EKG.MEAS,R wave duration in lead V3,R wave dur L-V3
100065-2,Satisfied with treatment,Find,Pt,^Patient,Ord,,CLIN,Satisfied with treatment,Satisfied with treatment
10007-3,R wave duration.lead V4,Time,Pt,Heart,Qn,EKG,EKG.MEAS,R wave duration in lead V4,R wave dur L-V4
10008-1,R wave duration.lead V5,Time,Pt,Heart,Qn,EKG,EKG.MEAS,R wave duration in lead V5,R wave dur L-V5
10009-9,R wave duration.lead V6,Time,Pt,Heart,Qn,EKG,EKG.MEAS,R wave duration in lead V6,R wave dur L-V6
10010-7,R' wave amplitude.lead AVF,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,R' wave amplitude in lead AVF,R' wave Amp L-AVF
10011-5,R' wave amplitude.lead AVL,Elpot,Pt,Heart,Qn,EKG,EKG.MEAS,R' wave amplitude in lead AVL,R' wave Amp L-AVL
